,param_batch_size,param_epochs,param_model__activation,param_model__dropout_rate,param_model__learning_rate,param_model__num_layers,param_model__units_per_layer
0,8,10,relu,0.2,0.001,1,16
1,8,10,relu,0.2,0.001,1,32
2,8,10,relu,0.2,0.001,2,16
3,8,10,relu,0.2,0.001,2,32
4,8,10,relu,0.2,0.01,1,16
5,8,10,relu,0.2,0.01,1,32
6,8,10,relu,0.2,0.01,2,16
7,8,10,relu,0.2,0.01,2,32
8,8,10,relu,0.4,0.001,1,16
9,8,10,relu,0.4,0.001,1,32
10,8,10,relu,0.4,0.001,2,16
11,8,10,relu,0.4,0.001,2,32
12,8,10,relu,0.4,0.01,1,16
13,8,10,relu,0.4,0.01,1,32
14,8,10,relu,0.4,0.01,2,16
15,8,10,relu,0.4,0.01,2,32
16,8,10,softmax,0.2,0.001,1,16
17,8,10,softmax,0.2,0.001,1,32
18,8,10,softmax,0.2,0.001,2,16
19,8,10,softmax,0.2,0.001,2,32
20,8,10,softmax,0.2,0.01,1,16
21,8,10,softmax,0.2,0.01,1,32
22,8,10,softmax,0.2,0.01,2,16
23,8,10,softmax,0.2,0.01,2,32
24,8,10,softmax,0.4,0.001,1,16
25,8,10,softmax,0.4,0.001,1,32
26,8,10,softmax,0.4,0.001,2,16
27,8,10,softmax,0.4,0.001,2,32
28,8,10,softmax,0.4,0.01,1,16
29,8,10,softmax,0.4,0.01,1,32
30,8,10,softmax,0.4,0.01,2,16
31,8,10,softmax,0.4,0.01,2,32
32,8,10,sigmoid,0.2,0.001,1,16
33,8,10,sigmoid,0.2,0.001,1,32
34,8,10,sigmoid,0.2,0.001,2,16
35,8,10,sigmoid,0.2,0.001,2,32
36,8,10,sigmoid,0.2,0.01,1,16
37,8,10,sigmoid,0.2,0.01,1,32
38,8,10,sigmoid,0.2,0.01,2,16
39,8,10,sigmoid,0.2,0.01,2,32
40,8,10,sigmoid,0.4,0.001,1,16
41,8,10,sigmoid,0.4,0.001,1,32
42,8,10,sigmoid,0.4,0.001,2,16
43,8,10,sigmoid,0.4,0.001,2,32
44,8,10,sigmoid,0.4,0.01,1,16
45,8,10,sigmoid,0.4,0.01,1,32
46,8,10,sigmoid,0.4,0.01,2,16
47,8,10,sigmoid,0.4,0.01,2,32
48,16,10,relu,0.2,0.001,1,16
49,16,10,relu,0.2,0.001,1,32
50,16,10,relu,0.2,0.001,2,16
51,16,10,relu,0.2,0.001,2,32
52,16,10,relu,0.2,0.01,1,16
53,16,10,relu,0.2,0.01,1,32
54,16,10,relu,0.2,0.01,2,16
55,16,10,relu,0.2,0.01,2,32
56,16,10,relu,0.4,0.001,1,16
57,16,10,relu,0.4,0.001,1,32
58,16,10,relu,0.4,0.001,2,16
59,16,10,relu,0.4,0.001,2,32
60,16,10,relu,0.4,0.01,1,16
61,16,10,relu,0.4,0.01,1,32
62,16,10,relu,0.4,0.01,2,16
63,16,10,relu,0.4,0.01,2,32
64,16,10,softmax,0.2,0.001,1,16
65,16,10,softmax,0.2,0.001,1,32
66,16,10,softmax,0.2,0.001,2,16
67,16,10,softmax,0.2,0.001,2,32
68,16,10,softmax,0.2,0.01,1,16
69,16,10,softmax,0.2,0.01,1,32
70,16,10,softmax,0.2,0.01,2,16
71,16,10,softmax,0.2,0.01,2,32
72,16,10,softmax,0.4,0.001,1,16
73,16,10,softmax,0.4,0.001,1,32
74,16,10,softmax,0.4,0.001,2,16
75,16,10,softmax,0.4,0.001,2,32
76,16,10,softmax,0.4,0.01,1,16
77,16,10,softmax,0.4,0.01,1,32
78,16,10,softmax,0.4,0.01,2,16
79,16,10,softmax,0.4,0.01,2,32
80,16,10,sigmoid,0.2,0.001,1,16
81,16,10,sigmoid,0.2,0.001,1,32
82,16,10,sigmoid,0.2,0.001,2,16
83,16,10,sigmoid,0.2,0.001,2,32
84,16,10,sigmoid,0.2,0.01,1,16
85,16,10,sigmoid,0.2,0.01,1,32
86,16,10,sigmoid,0.2,0.01,2,16
87,16,10,sigmoid,0.2,0.01,2,32
88,16,10,sigmoid,0.4,0.001,1,16
89,16,10,sigmoid,0.4,0.001,1,32
90,16,10,sigmoid,0.4,0.001,2,16
91,16,10,sigmoid,0.4,0.001,2,32
92,16,10,sigmoid,0.4,0.01,1,16
93,16,10,sigmoid,0.4,0.01,1,32
94,16,10,sigmoid,0.4,0.01,2,16
95,16,10,sigmoid,0.4,0.01,2,32
96,32,10,relu,0.2,0.001,1,16
97,32,10,relu,0.2,0.001,1,32
98,32,10,relu,0.2,0.001,2,16
99,32,10,relu,0.2,0.001,2,32
100,32,10,relu,0.2,0.01,1,16
101,32,10,relu,0.2,0.01,1,32
102,32,10,relu,0.2,0.01,2,16
103,32,10,relu,0.2,0.01,2,32
104,32,10,relu,0.4,0.001,1,16
105,32,10,relu,0.4,0.001,1,32
106,32,10,relu,0.4,0.001,2,16
107,32,10,relu,0.4,0.001,2,32
108,32,10,relu,0.4,0.01,1,16
109,32,10,relu,0.4,0.01,1,32
